#,RDP Reference,Status,KPI Category,Definition (KPI),KPI Drivers - Initial input (Alix Partners),KPI Drivers as of 2.10.2025,"1. Board to 
Front line",2. Finance Co-owned,3. Embed policy-as-code,4. Standardized semantics,5. Integrate AI KPIs,"Driver Weighting
OPTIONAL",KPI Drivers ,Quality Criteria (1=Low),Quality Criteria (2=Low-Medium),Quality Criteria (3=Medium),Quality Criteria (4=Medium-High),Quality Criteria (5=High),
1,,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs.,Does the company have an AI strategy?,Does the company have an AI strategy? ,,,,,,,What is the maturity of the Companies AI Strategy?,"AI used sporadically, no formal strategy, limited business alignment.","Standalone AI projects, emerging roadmap, early data efforts but not integrated organization-wide.","Defined AI strategy aligned to business, cross-functional teams, enterprise data management, basic governance.","AI scaled across functions, mature data and ML platforms, KPIs tracked, workforce skilled, formal ethics.","AI is core to business model, continuous optimization, differentiated innovation, automated governance, and measurable impact.",
2,,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs.,Percentage of AI initiatives with outcomes tied to measurable business KPIs.,Percentage of AI initiatives with outcomes tied to measurable business KPIs.,,,,,,,"Evidence of AI initiatives with reported impact on key metrics (efficiency, CX, cost, or revenue)",No public evidence of AI impact,Only vague qualitative mentions (e.g. “AI improves customer experience”),1–2 specific examples with some evidence of business benefit,"Several initiatives with partial quantification (efficiency, cost, or CX impact)",Multiple initiatives with clearly quantified and recurring impact across business lines,
3,,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs,C-level statements about AI Strategy,C-level statements about AI Strategy,x,,,,,,Does the company’s C-level publicly communicate a defined AI strategy?,No public signals of stakeholder commitment to AI‑driven change.,"High‑level intent (e.g., upskilling plans) without governance, budget, or operating‑model changes.","Formal governance (e.g., AI council) or CAIO appointment; initial budget lines or hiring push; launch of training program and partner MoUs.","Cross‑functional operating model with clear RACI; disclosed reskilling targets (e.g., ≥1,000 employees), regulatory/ethics engagement, and signed multi‑year partner agreements to support rollout.","Board‑level oversight (committee/charter), public change KPIs (e.g., % workforce trained, adoption rates), union/regulator agreements where relevant, and multi‑year funding commitments with progress updates in filings.", 
4,19,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs,Presence of AI talent/experience on the Board,Presence of AI talent/experience on the Board,,,,,,,Are there board members with proven AI expertise?,Zero directors with AI/ML/data expertise.,One director with general tech/IT background; limited direct AI experience.,"≥1 director with substantive AI/ML/data leadership (e.g., led DS/ML at major tech) or recognized academic AI credentials; sporadic mention of board AI oversight.","≥2 directors with strong AI/ML credentials OR a formal board committee with AI in its remit (e.g., Technology & Innovation/Risk) and disclosed oversight responsibilities.",≥3 directors with AI/ML track records AND an active board committee overseeing AI strategy/risk/ethics; regular AI reporting in the annual report and participation in external AI governance forums., 
5,,confirmed,Strategy,Trust and change management- secure stakeholder buy-in to drive change,"AI communications in social media, white papers (volume and boldness of messaging), limit to G7 or primary markets","AI communications in social media, white papers (volume and boldness of messaging), limit to G7 or primary markets",,,,,,,"How proactive and impactful is the company’s public AI messaging (social, white papers) in core markets?",≤2 items in last 12 months; generic messaging; no metrics or named partners/customers.,3–5 items; mostly marketing; limited telecom specificity; few quantified claims.,"6–10 items; includes ≥1 white paper or major conference talk (e.g., MWC, TM Forum) with telecom use‑case detail; at least one piece with quantified impact.","11–20 items; steady multi‑channel cadence; several case studies with metrics (e.g., AHT↓, energy↓), named partners/customers, and earned‑media pickup.",">20 items; sustained multi‑channel presence; bold, target‑backed claims (e.g., care deflection ≥20%, RAN energy ↓ ≥10%), multiple reference customers, open‑sourced assets/benchmarks, and third‑party awards.", 
6,"5, 28",confirmed,Strategy,Use Case Selection- Target high impact use cases,Number of use cases  and alignment with strategic priorities,Number of use cases  and alignment with strategic priorities,,,,,,,"What is the number of documented AI use cases, and how well are they aligned with business strategy?",0 disclosed AI use cases.,"1–2 isolated pilots (e.g., basic chatbot or RPA) with no explicit link to telecom strategy.","3–5 disclosed use cases (e.g., churn prediction, network anomaly alerts, SIM‑fraud detection) with limited/implicit strategic linkage; mixed pilot/production status.","6–10 use cases spanning ≥3 domains (customer care, network/SRAN, field ops, B2B) with explicit ties to 5G rollout, CX/NPS, OPEX/energy; several in production with metrics.",">10 use cases across portfolio (care automation/FCR/AHT, proactive outage prevention/MTTR, SON/RAN energy optimization, predictive maintenance, enterprise SLA assurance, sales NBA) with strong strategic linkage and analyst‑recognized business impact.", 
7,20,confirmed,Strategy,Adoption speed of AI solutions,When were the first AI solutions executed?,When were the first AI solutions executed?,,,,,,,How long has the company had operational AI solutions in place?,No public evidence of executed AI solutions as of today; only roadmap language or experiments without dates/results.,First externally evidenced execution 2023–2025 (late adopter).,First externally evidenced execution 2020–2022 (follower).,First externally evidenced execution 2017–2019 (early adopter within telco).,"First externally evidenced execution ≤2016 (pioneer), and evidence of continuity (at least one AI project referenced in external sources in ≥3 different years since 2018).", 
8,,confirmed,Strategy,Long term AI Roadmap,,,x,,,,,,"Presence and clarity of a publicly communicated AI roadmap outlining long-term objectives, milestones, and investment priorities.",No roadmap or only vague statements.,Draft or internal roadmap; limited scope.,Public roadmap with some milestones but unclear ownership or KPIs.,"Comprehensive roadmap with defined goals, milestones, and periodic updates.","Enterprise-wide, integrated AI roadmap with measurable milestones, funding alignment, and executive accountability.", 
9,,confirmed,Execution,AI Funding,,,,x,,,,,"To what extent does the organization allocate and scale financial, human, and technological resources to AI initiatives in a way that delivers measurable business outcomes?",Minimal or ad-hoc resource allocation.,Small budgets/pilots; inconsistent tracking.,Dedicated AI funding and teams in select areas; some business outcomes measured.,Sustained resource scaling across functions; measurable ROI for major initiatives.,"Systematic enterprise allocation tied to KPIs, ROI dashboards, and continuous reprioritization.", 
10,,confirmed,Execution,"AI building- build tailored, practical AI models","Type of technology, AI model (include agentic AI) point in time implementation or agents Maturity of agentic workforce within the operating model. ","Type of technology, AI model (include agentic AI) point in time implementation or agents Maturity of agentic workforce within the operating model. ",,,,,,,"What AI technologies/models are used, and what is the maturity of agent-based AI integrations in business operations?",Only generic analytics/RPA publicly visible; no LLM/agent pilots; 0 job postings citing LLM/RAG/agent frameworks.,One‑off ML/LLM pilot disclosed; vendor‑led POC; 1–2 job postings mention LLM/RAG; no agentic workforce evidence.,Classical ML plus ≥1 LLM/RAG pilot in CX or knowledge search; early assistive “copilot” for employees; 3–5 job postings cite LLM/RAG; one public case study.,"Production LLM/RAG in ≥2 domains (e.g., care deflection + field ops) and initial agentic automations (e.g., ticket triage); ≥2 case studies and ≥6 job postings referencing agents/LLM ops; mentions of MLOps/tooling.","Agentic architecture embedded in operating model (multi‑agent workflows in care, network assurance, field ops) with governance; >3 public references and ≥10 job postings citing agent frameworks; analyst/award recognition and reported KPI gains.", 
